DO,pH,Conductivity,Turbidity,Ammonia-N,Hardness,Sulphate,TDS,Date,WQI
6.7,7.53,435.0,7.0,0.4,136.07,34.0,260.0,2019-01-01,83.23185714285715
5.6,7.25,672.0,6.0,0.4,215.0,46.0,408.0,2019-01-01,96.3101904761905
5.8,8.13,640.0,6.0,0.4,188.0,50.0,396.0,2019-01-01,95.91704761904764
6.1,8.14,666.0,9.0,0.4,216.0,58.0,420.0,2019-01-01,104.9347619047619
2.1,10.85,960.0,28.0,0.4,204.0,88.0,620.0,2019-01-01,148.76
5.8,8.22,787.0,8.0,0.4,240.0,54.0,480.0,2019-01-01,110.12380952380954
5.2,7.45,1197.0,11.0,0.4,362.0,68.0,710.0,2019-01-01,141.48714285714289
4.6,7.78,1161.0,6.0,0.4,400.0,29.0,680.0,2019-01-01,128.98238095238094
6.2,8.1,311.0,12.0,0.4,110.0,18.0,184.0,2019-01-01,81.26057142857142
6.0,8.21,326.0,16.0,0.4,115.0,12.0,192.0,2019-01-01,88.01742857142858
5.2,8.17,304.0,5.86,0.4,105.0,10.0,180.0,2019-01-01,67.7212380952381
4.3,8.2,330.0,6.23,0.4,130.0,12.0,190.0,2019-01-01,68.09038095238095
5.8,8.08,400.0,5.42,0.4,120.0,22.0,243.0,2019-01-01,75.89980952380952
5.0,8.07,374.0,9.2,0.4,130.0,16.0,220.0,2019-01-01,77.72809523809525
5.2,7.73,486.0,4.0,0.4,155.0,22.0,296.0,2019-01-01,77.95514285714287
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
5.8,8.08,460.0,15.0,0.4,100.0,28.0,298.0,2019-01-01,95.50114285714287
1.0,7.64,1569.0,4.0,0.4,380.0,89.0,994.0,2019-01-01,146.3677142857143
6.6,7.21,426.0,28.0,0.4,119.33,22.0,252.0,2019-01-01,114.20366666666663
6.7,7.22,362.0,20.0,0.4,132.56,22.0,218.0,2019-01-01,98.37838095238098
6.7,7.57,617.0,26.0,0.4,145.79,30.0,248.0,2019-01-01,119.30938095238095
6.3,7.36,1287.0,38.0,0.4,244.53,30.0,774.0,2019-01-01,187.9187142857143
